rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
271,5977,0.9319999814033508,0.9319999814033508,0.17656387388706207,0.16825872659683228,1
272,578,0.9319999814033508,0.9319999814033508,0.11024011671543121,0.12614622712135315,1
273,1468,0.9309999942779541,0.9309999942779541,0.2492627054452896,0.3553890585899353,1
274,490,0.9300000071525574,0.9300000071525574,0.28978994488716125,0.2998637855052948,1
275,1550,0.9290000200271606,0.9290000200271606,0.17986240983009338,0.21456609666347504,1
276,1983,0.9279999732971191,0.9279999732971191,0.29279351234436035,0.3425334692001343,1
277,457,0.9269999861717224,0.9269999861717224,0.3658854365348816,0.4224849343299866,1
278,8108,0.9259999990463257,0.9259999990463257,0.3195485472679138,0.4792131781578064,1
279,1826,0.925000011920929,0.925000011920929,0.19386649131774902,0.2515798807144165,1
280,7975,0.925000011920929,0.925000011920929,0.17086240649223328,0.21151278913021088,1
281,830,0.9229999780654907,0.9229999780654907,0.47849854826927185,0.5294398069381714,1
282,248,0.9229999780654907,0.9229999780654907,0.31136322021484375,0.3484908640384674,1
283,9648,0.9229999780654907,0.9229999780654907,0.2912410497665405,0.39687713980674744,1
284,9646,0.9229999780654907,0.9229999780654907,0.11305101215839386,0.12300387024879456,1
285,628,0.921999990940094,0.921999990940094,0.434477835893631,0.47167348861694336,1
286,6962,0.9200000166893005,0.9200000166893005,0.2492700070142746,0.379043847322464,1
287,1780,0.9190000295639038,0.9190000295639038,0.23428718745708466,0.2677960693836212,1
288,2983,0.9190000295639038,0.9190000295639038,0.2252717912197113,0.3077930212020874,1
289,8884,0.9150000214576721,0.9150000214576721,0.3239670991897583,0.39902880787849426,1
290,5746,0.9129999876022339,0.9129999876022339,0.3332640826702118,0.3673226237297058,1
291,384,0.9129999876022339,0.9129999876022339,0.2165302336215973,0.26605355739593506,1
292,6914,0.9129999876022339,0.9129999876022339,0.18910162150859833,0.27695348858833313,1
293,5079,0.9120000004768372,0.9120000004768372,0.4245848059654236,0.496514230966568,1
294,5160,0.9120000004768372,0.9120000004768372,0.20401132106781006,0.22951538860797882,1
295,951,0.9110000133514404,0.9110000133514404,0.16725197434425354,0.30403852462768555,1
296,9717,0.9100000262260437,0.9100000262260437,0.22602182626724243,0.2914923131465912,1
297,10036,0.9079999923706055,0.9079999923706055,0.18000228703022003,0.2182394564151764,1
298,2165,0.9079999923706055,0.9079999923706055,0.16978198289871216,0.29023584723472595,1
299,8661,0.9070000052452087,0.9070000052452087,0.1297631412744522,0.18350829184055328,1
300,9043,0.906000018119812,0.906000018119812,0.11488190293312073,0.14185085892677307,1
301,1883,0.9049999713897705,0.9049999713897705,0.6304441094398499,0.8720999360084534,1
302,7294,0.9039999842643738,0.9039999842643738,0.27561208605766296,0.30263906717300415,1
303,5048,0.9039999842643738,0.9039999842643738,0.2565225064754486,0.3017294406890869,1
304,2543,0.9039999842643738,0.9039999842643738,0.14583270251750946,0.16220475733280182,1
305,7772,0.9039999842643738,0.9039999842643738,0.1449635624885559,0.18987075984477997,1
306,4637,0.902999997138977,0.902999997138977,0.24999870359897614,0.3783015012741089,1
307,103,0.9020000100135803,0.9020000100135803,0.49751630425453186,0.48008954524993896,1
308,9894,0.9010000228881836,0.9010000228881836,0.418337881565094,0.48922964930534363,1
309,2686,0.9010000228881836,0.9010000228881836,0.28882095217704773,0.3752201199531555,1
310,143,0.8999999761581421,0.8999999761581421,0.2003064602613449,0.24739482998847961,0
311,1067,0.8980000019073486,0.8980000019073486,0.44604265689849854,0.6824947595596313,0
312,10232,0.8970000147819519,0.8970000147819519,0.21778255701065063,0.30194753408432007,0
313,6439,0.8970000147819519,0.8970000147819519,0.2170819193124771,0.29782482981681824,0
314,5595,0.8970000147819519,0.8970000147819519,0.15945175290107727,0.19388818740844727,0
315,7463,0.8970000147819519,0.8970000147819519,0.1527567207813263,0.2618323564529419,0
316,1793,0.8949999809265137,0.8949999809265137,0.21458181738853455,0.2532438635826111,0
317,688,0.8949999809265137,0.8949999809265137,0.08349420130252838,0.1206328496336937,0
318,7979,0.8939999938011169,0.8939999938011169,0.09965592622756958,0.12350799888372421,0
319,3204,0.8920000195503235,0.8920000195503235,0.18962711095809937,0.23985347151756287,0
